Version:
Wed Sep 23 12:18:16 EDT 2015
Table: M31 Hectospec Catalog of Old Clusters
Entries are separated by TABS.
Ap is the photometry aperture in arcsecs.
Vel_source is either HS (Hectospec), HX (from various Huxor et al.
    papers), B (Barmby), P (Perrett et al).
Mag_source is either L (LGS images, measured in Caldwell et al 2009),
     B (Barmby), H (from various Huxor et al. papers).
EBV_source reddening estimate, from Caldwell 2011 (H),  Barmby (B), or the median (blank)
Age is in Gyr. Clusters where an age determination was difficult are given "(14)". Blank age values mean that the cluster is obviously old, but no
measurement has been made. Typically that is the case for objects without
Hectospectra.  Masses are in solar units.  
XY are in kpc assuming distance is 770kpc, X is positive at higher RA.
[Fe/H] values are either from integrated light spectroscopic measurements ([Fe/H]_source=HS, 
see Caldwell 2011), or from CMDs (Lit, references in Caldwell 2011).
Table is not up-to-date for the outer clusters.

See Caldwell et al. "Star Clusters in M31. II. Old Cluster Metallicities and Ages from Hectospec Data" 
(http://adsabs.harvard.edu/abs/2011AJ....141...61C) for details.

object    	RA           	DEC          	X     	Y      	VELOCITY	CZERR 	E(B-V)	V    	V_err	Ap    	Vel_source	Mag_source	Age 	[Fe/H]	[Fe/H]_err	[Fe/H]_source	Log_Mass	EBV_source	COMMENTS                                              
MCGC1-B520	   0:26:47.80	   39:44:46.7	-40.70	  20.67	  -245  	  10  	  0.13	16.05	     	      	HX        	H         	(14)	 -2.14	          	Lit          	    5.74	          	                                                      
PAndAS-17 	   0:26:52.2 	   38:44:58  	-51.58	  12.79	  -279  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
H2        	   0:28:03.28	   40:02:56.1	-35.49	  20.36	  -519  	  10  	  0.13	17.58	     	      	HX        	H         	(14)	      	          	             	    5.13	          	                                                      
PAndAS-18 	   0:28:23.2 	   39:55:04  	-36.43	  18.64	  -551  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
HEC2      	   0:28:31.65	   37:31:24.4	-62.57	  -0.35	  -341  	  10  	  0.13	19.17	     	      	HX        	H         	(14)	      	          	             	    4.50	          	                                                      
H3        	   0:29:30.15	   41:50:32.1	-13.68	  31.33	   -86  	  10  	  0.13	18.13	     	      	HX        	H         	(14)	      	          	             	    4.91	          	                                                      
MCGC2-H4  	   0:29:45.01	   41:13:09.6	-20.14	  25.96	  -368  	  10  	  0.13	16.98	     	      	HX        	H         	(14)	 -1.94	          	Lit          	    5.37	          	                                                      
PAndAS-19 	   0:30:12.2 	   39:50:59  	-34.45	  14.28	  -544  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
MCGC3-H5  	   0:30:27.30	   41:36:20.0	-14.88	  27.54	  -392  	  10  	  0.13	16.31	     	      	HX        	H         	(14)	 -2.14	          	Lit          	    5.64	          	                                                      
B514-MCGC4	   0:31:09.8 	   37:54:00  	-54.32	  -3.10	  -474.7	   0.1	  0.13	     	     	      	CL        	          	    	 -1.74	      0.04	HS           	        	          	                                                      
PAndAS-21 	   0:31:27.5 	   39:32:21  	-35.94	   9.20	  -600  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
H7        	   0:31:54.55	   40:06:47.7	-29.00	  12.79	  -426  	  10  	  0.13	18.10	     	      	HX        	H         	(14)	      	          	             	    4.92	          	                                                      
PAndAS-22 	   0:32:08.3 	   40:37:31  	-23.07	  16.36	  -437  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
G001-MII  	   0:32:46.53	   39:34:40.6	-33.51	   6.74	  -332. 	   3. 	  0.09	13.75	     	      	B         	B         	(14)	 -0.95	          	Lit          	    6.61	B         	                                                      
PAndAS-23 	   0:33:14.1 	   39:35:15  	-32.70	   5.86	  -476  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
G002-MIII 	   0:33:33.77	   39:31:18.9	-32.91	   4.65	  -349.3	   0.2	  0.08	15.81	     	      	CL        	B         	(14)	 -1.63	      0.04	HS           	    5.78	B         	                                                      
H8        	   0:34:15.44	   39:52:53.1	-27.94	   6.06	  -463  	  10  	  0.13	19.62	     	      	HX        	H         	(14)	      	          	             	    4.32	          	                                                      
H9        	   0:34:17.29	   37:30:43.3	-53.64	 -12.91	  -374  	  10  	  0.13	17.62	     	      	HX        	H         	(14)	      	          	             	    5.12	          	                                                      
PAndAS-27 	   0:35:13.5 	   45:10:37  	 30.88	  46.42	   -46  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
MCGC5-H10 	   0:35:59.76	   35:41:03.9	-70.79	 -31.33	  -352  	  10  	  0.13	16.09	     	      	HX        	H         	(14)	 -1.84	          	Lit          	    5.73	          	                                                      
B291-G009 	   0:36:04.97	   42:02:09.3	 -1.88	  19.55	  -213.5	  13.6	  0.12	16.59	     	      	HS        	B         	(14)	 -1.19	      0.15	HS           	    5.52	H         	                                                      
B292-G010 	   0:36:16.66	   40:58:26.5	-13.05	  10.64	  -331. 	  23. 	  0.13	17.00	     	      	B         	B         	(14)	 -1.9 	          	Lit          	    5.36	          	                                                      
B293-G011 	   0:36:20.86	   40:53:37.2	-13.81	   9.85	  -345. 	  35. 	  0.13	16.30	     	      	B         	B         	(14)	 -1.80	          	Lit          	    5.64	          	                                                      
HEC3      	   0:36:31.72	   44:44:16.7	 27.97	  40.39	        	      	  0.14	19.62	     	      	          	H         	(14)	      	          	             	    4.33	          	                                                      
B295-G014 	   0:36:46.73	   40:19:42.1	-19.25	   4.43	  -415.3	  25.9	  0.03	16.72	     	      	HS        	B         	(14)	 -1.71	      0.24	HS           	    5.35	H         	                                                      
H11       	   0:37:28.12	   44:11:24.9	 23.40	  34.17	  -213  	  10  	  0.13	16.88	     	      	HX        	H         	(14)	      	          	             	    5.41	          	                                                      
B422      	   0:37:38.45	   41:59:59.2	  0.06	  16.14	  -202.4	  17.6	  0.09	18.11	     	      	HS        	B         	(14)	 -1.17	      0.25	HS           	    4.87	H         	                                                      
B298-G021 	   0:38:00.22	   40:43:55.8	-13.02	   5.18	  -546.2	  16.7	  0.13	16.59	     	      	HS        	B         	(14)	 -1.76	      0.26	HS           	    5.53	B         	                                                      
B298-G021 	   0:38:00.22	   40:43:55.8	-13.02	   5.18	  -546.2	  16.7	  0.13	16.59	     	      	HS        	B         	(14)	      	          	             	    5.53	B         	                                                      
H12       	   0:38:03.87	   37:44:00.7	-45.21	 -19.21	  -396  	  10  	  0.13	16.47	     	      	HX        	H         	(14)	 -2.14	          	Lit          	    5.58	          	                                                      
HEC4      	   0:38:04.60	   40:44:39.0	-12.79	   5.12	        	      	  0.07	17.60	     	      	          	H         	(14)	 -2.14	          	Lit          	    5.05	          	                                                      
HEC5      	   0:38:19.50	   41:47:14.9	 -1.20	  13.06	        	      	  0.08	17.60	     	      	          	H         	(14)	 -1.84	          	Lit          	    5.06	          	                                                      
B301-G022 	   0:38:21.59	   40:03:37.0	-19.70	  -0.98	  -366.6	   6.9	  0.19	16.93	 0.26	 3.87 	HS        	L         	(14)	 -0.87	      0.14	HS           	    5.47	H         	                                                      
B167D     	   0:38:22.48	   41:54:35.0	  0.19	  13.95	  -196.4	  15.0	  0.11	17.95	     	      	HS        	B         	(14)	 -1.47	      0.18	HS           	    4.96	H         	                                                      
B302-G023 	   0:38:33.5 	   41:20:52.2	 -5.56	   9.03	  -394.4	  21.7	  0.05	16.68	     	      	HS        	B         	(14)	 -1.52	      0.35	HS           	    5.39	H         	                                                      
H13       	   0:38:33.65	   41:44:53.1	 -1.26	  12.26	        	      	  0.14	     	     	      	          	          	    	      	          	             	        	          	                                                      
HEC6      	   0:38:35.60	   44:16:48.9	 26.00	  32.73	  -132  	  10  	  0.13	18.99	     	      	HX        	H         	(14)	      	          	             	    4.57	          	                                                      
MCGC7-H14 	   0:38:49.39	   42:22:47.0	  5.92	  16.86	  -247.6	  24.9	  0.13	18.27	     	      	HS        	H         	(14)	 -0.7 	      0.73	HS           	    4.86	          	cont. shape may be off                                
B304-G028 	   0:38:56.94	   41:10:28.4	 -6.83	   6.84	  -405.3	  15.3	  0.14	16.83	     	      	HS        	B         	(14)	 -1.33	      0.15	HS           	    5.44	H         	                                                      
B306-G029 	   0:39:08.70	   40:34:21.2	-12.98	   1.56	  -443.9	   8.6	  0.57	16.46	 0.15	 7.74 	HS        	L         	(14)	 -1.11	      0.13	HS           	    6.13	H         	red                                                   
B309-G031 	   0:39:24.62	   40:14:29.1	-16.13	  -1.67	  -404.3	  16.2	  0.2 	17.41	 0.24	 7.74 	HS        	L         	(14)	 -1.25	      0.20	HS           	    5.29	H         	                                                      
B310-G032 	   0:39:25.75	   41:23:33.1	 -3.76	   7.64	  -238.1	  14.0	  0.13	17.04	     	      	HS        	B         	(14)	 -1.45	      0.13	HS           	    5.35	H         	                                                      
B181D     	   0:39:30.85	   41:28:26.4	 -2.76	   8.13	  -203.7	   8.1	  0.03	17.72	     	      	HS        	G         	(14)	 -1.02	      0.13	HS           	    4.95	H         	                                                      
B311-G033 	   0:39:33.72	   40:31:14.7	-12.90	   0.29	  -523.4	  20.1	  0.36	15.50	 0.10	11.61 	HS        	L         	(14)	 -1.85	      0.17	HS           	    6.25	H         	                                                      
B312-G035 	   0:39:40.17	   40:57:02.4	 -8.13	   3.57	  -177.5	   8.7	  0.23	15.58	     	      	HS        	B         	(14)	 -1.16	      0.11	HS           	    6.06	H         	                                                      
B313-G036 	   0:39:44.60	   40:52:55.2	 -8.75	   2.86	  -429.5	   7.7	  0.39	16.45	 0.18	11.61 	HS        	L         	(14)	 -0.99	      0.12	HS           	    5.91	H         	                                                      
B001-G039 	   0:39:51.02	   40:58:10.6	 -7.65	   3.35	  -203.3	   7.7	  0.39	16.92	 0.03	15.48 	HS        	L         	11.9	 -0.69	      0.13	HS           	    5.72	H         	                                                      
B317-G041 	   0:39:55.29	   41:47:45.9	  1.31	   9.93	  -178.2	  15.9	  0.12	16.55	     	      	HS        	B         	(14)	 -2.10	      0.18	HS           	    5.53	H         	N205, HubVIII                                         
B002-G043 	   0:40:02.57	   41:11:53.5	 -4.90	   4.83	  -338.2	  14.5	  0.11	17.55	     	      	HS        	B         	(14)	 -2.20	      0.19	HS           	    5.12	H         	                                                      
B003-G045 	   0:40:09.40	   41:11:05.6	 -4.87	   4.49	  -377.0	  10.6	  0.12	17.57	     	      	HS        	B         	(14)	 -1.64	      0.20	HS           	    5.12	H         	                                                      
H15       	   0:40:13.20	   35:52:36.6	-61.73	 -39.00	  -367  	  10  	  0.13	17.99	     	      	HX        	H         	(14)	      	          	             	    4.97	          	                                                      
B004-G050 	   0:40:17.92	   41:22:40.2	 -2.59	   5.77	  -369.8	   6.0	  0.18	16.95	     	      	HS        	B         	12.2	 -0.69	      0.12	HS           	    5.45	H         	                                                      
B005-G052 	   0:40:20.33	   40:43:58.3	 -9.43	   0.44	  -291.6	   9.1	  0.16	15.66	 0.08	 5.16 	HS        	L         	(14)	 -0.67	      0.13	HS           	    5.94	H         	                                                      
B328-G054 	   0:40:24.52	   41:40:23.1	  0.73	   7.96	  -281.5	  12.8	  0.16	17.57	     	      	HS        	B         	(14)	 -1.18	      0.16	HS           	    5.17	H         	weak_e, N205, HubIV                                   
B330-G056 	   0:40:25.58	   41:42:53.6	  1.21	   8.27	  -247.3	  17.0	  0.12	17.69	     	      	HS        	B         	(14)	 -1.43	      0.15	HS           	    5.08	H         	N205, HubVII                                          
B331-G057 	   0:40:26.10	   41:42:03.9	  1.07	   8.14	  -242.9	   8.2	  0.06	18.20	     	      	HS        	B         	5.3 	 -0.82	      0.17	HS           	    4.80	H         	N205, HubVI                                           
B006-G058 	   0:40:26.48	   41:27:26.7	 -1.52	   6.14	  -232.4	   5.7	  0.17	15.53	     	      	HS        	B         	(14)	 -0.53	      0.11	HS           	    6.00	H         	                                                      
B244      	   0:40:26.49	   41:18:35.5	 -3.10	   4.93	  -237.8	  12.6	  0.1 	18.27	     	      	HS        	B         	(14)	 -1.39	      0.21	HS           	    4.82	H         	                                                      
BH04      	   0:40:27.2 	   41:42:23.9	  1.16	   8.14	  -224.6	  21.5	  0.06	19.69	     	      	HS        	G         	(14)	 -0.38	      0.57	HS           	    4.20	H         	N205,image-notstar                                    
B333      	   0:40:29.58	   41:40:26.7	  0.87	   7.80	  -239.3	   7.9	  0.1 	19.13	     	      	HS        	B         	5.3 	 -0.84	      0.19	HS           	    4.48	H         	ok, but slightly off N205                             
B008-G060 	   0:40:30.28	   41:16:08.7	 -3.44	   4.47	  -318.0	   3.9	  0.2 	16.52	     	      	HS        	B         	13.5	 -0.75	      0.12	HS           	    5.64	H         	                                                      
B009-G061 	   0:40:30.70	   41:36:55.6	  0.28	   7.28	  -294.9	   9.8	  0.1 	16.92	     	      	HS        	B         	(14)	 -1.30	      0.12	HS           	    5.36	H         	N205, HubI                                            
B010-G062 	   0:40:31.56	   41:14:22.5	 -3.72	   4.19	  -164.4	   9.8	  0.19	16.66	     	      	HS        	B         	(14)	 -1.78	      0.17	HS           	    5.57	H         	                                                      
B011-G063 	   0:40:31.87	   41:39:16.9	  0.72	   7.57	  -237.8	  13.4	  0.1 	16.79	     	      	HS        	B         	(14)	 -1.25	      0.14	HS           	    5.41	H         	N205, HubII                                           
B012-G064 	   0:40:32.46	   41:21:44.2	 -2.39	   5.16	  -355.7	  10.9	  0.17	15.12	     	      	HS        	B         	(14)	 -1.66	      0.12	HS           	    6.16	H         	                                                      
H16       	   0:40:37.80	   39:45:29.8	-19.40	  -8.10	        	      	  0.14	17.53	     	      	          	H         	(14)	      	          	             	    5.17	          	                                                      
B013-G065 	   0:40:38.43	   41:25:23.7	 -1.58	   5.46	  -411.5	   5.6	  0.17	17.19	     	      	HS        	B         	9.5 	 -0.49	      0.14	HS           	    5.34	H         	                                                      
B015-V204 	   0:40:45.02	   40:59:56.3	 -5.95	   1.78	  -460.0	   7.3	  0.58	17.87	 0.12	11.61 	HS        	L         	7.2 	 -0.05	      0.16	HS           	    5.57	H         	red                                                   
B016-G066 	   0:40:45.16	   41:22:09.9	 -1.99	   4.79	  -388.4	   5.4	  0.27	17.58	     	      	HS        	B         	11.1	 -0.71	      0.12	HS           	    5.31	H         	                                                      
B336-G067 	   0:40:47.60	   42:08:43.2	  6.37	  11.05	  -609.0	  27.2	  0.05	17.81	     	      	HS        	B         	(14)	 -2.49	      0.59	HS           	    4.94	H         	ok, but slightly off                                  
B337-G068 	   0:40:48.47	   42:12:11.0	  7.01	  11.49	  -278.5	  14.1	  0.1 	16.73	     	      	HS        	B         	(14)	 -1.17	      0.14	HS           	    5.44	H         	                                                      
B017-G070 	   0:40:48.73	   41:12:07.1	 -3.68	   3.31	  -530.4	   5.6	  0.47	16.04	 0.14	 7.74 	HS        	L         	11.8	 -0.84	      0.11	HS           	    6.17	H         	                                                      
B246      	   0:40:52.29	   40:53:55.9	 -6.83	   0.71	  -496.8	  12.9	  0.08	18.63	 0.14	 5.16 	HS        	L         	(14)	 -0.74	      0.31	HS           	    4.65	H         	                                                      
B019-G072 	   0:40:52.52	   41:18:53.8	 -2.38	   4.10	  -220.4	   5.6	  0.22	14.98	 0.08	 7.74 	HS        	L         	10.9	 -0.75	      0.11	HS           	    6.28	H         	                                                      
B020-G073 	   0:40:55.26	   41:41:25.2	  1.70	   7.08	  -345.4	   4.9	  0.11	14.91	     	      	HS        	B         	8.6 	 -0.86	      0.11	HS           	    6.18	H         	N205, HubIII                                          
B338-G076 	   0:40:58.87	   40:35:47.9	 -9.89	  -1.98	  -275.8	  11.8	  0.15	14.22	 0.10	11.61 	HS        	L         	(14)	 -1.12	      0.12	HS           	    6.50	H         	                                                      
B021-G075 	   0:40:58.99	   41:05:39.1	 -4.57	   2.09	  -419.1	   7.1	  0.56	17.78	 0.14	 7.74 	HS        	L         	12.6	 -0.50	      0.13	HS           	    5.59	H         	                                                      
B022-G074 	   0:40:59.08	   41:24:42.0	 -1.18	   4.68	  -454.4	  10.9	  0.14	17.36	     	      	HS        	B         	(14)	 -1.78	      0.16	HS           	    5.23	H         	                                                      
B339-G077 	   0:41:00.71	   39:55:54.2	-16.94	  -7.47	  -227.1	  12.6	  0.13	16.87	     	      	HS        	B         	(14)	 -0.45	      0.16	HS           	    5.42	          	red, cont. shape may be off                           
B023-G078 	   0:41:01.19	   41:13:45.7	 -3.07	   3.12	  -443.9	   7.1	  0.42	14.17	 0.09	11.61 	HS        	L         	11.8	 -0.74	      0.11	HS           	    6.86	H         	                                                      
B248      	   0:41:07.94	   40:53:01.0	 -6.59	   0.06	  -570.3	   9.8	  0.3 	18.06	 0.05	 7.74 	HS        	L         	(14)	 -1.39	      0.16	HS           	    5.15	H         	                                                      
B341-G081 	   0:41:09.15	   40:35:52.8	 -9.61	  -2.31	  -364.9	   7.5	  0.2 	16.27	 0.03	 5.16 	HS        	L         	12.4	 -0.86	      0.12	HS           	    5.74	H         	                                                      
B024-G082 	   0:41:11.86	   41:45:49.1	  2.90	   7.13	  -215.0	   4.9	  0.19	16.80	     	      	HS        	B         	(14)	 -0.64	      0.12	HS           	    5.52	H         	                                                      
B025-G084 	   0:41:12.55	   41:00:28.3	 -5.15	   0.92	  -204.9	  14.6	  0.35	16.77	 0.08	 5.16 	HS        	L         	(14)	 -1.43	      0.14	HS           	    5.73	H         	                                                      
B249      	   0:41:12.58	   41:01:12.7	 -5.01	   1.02	  -536.7	   8.8	  0.37	18.16	 0.26	 7.74 	HS        	L         	8.5 	  0.34	      0.24	HS           	    5.20	H         	                                                      
B027-G087 	   0:41:14.54	   40:55:50.9	 -5.92	   0.23	  -302.9	  15.6	  0.19	15.61	 0.06	 7.74 	HS        	L         	(14)	 -1.26	      0.14	HS           	    5.99	H         	                                                      
B026-G086 	   0:41:14.55	   41:24:40.1	 -0.79	   4.15	  -250.8	   4.6	  0.28	17.53	     	      	HS        	B         	(14)	 -0.44	      0.12	HS           	    5.34	H         	                                                      
B028-G088 	   0:41:16.50	   40:59:03.2	 -5.30	   0.60	  -414.2	  19.3	  0.2 	16.90	 0.09	 7.74 	HS        	L         	(14)	 -2.45	      0.18	HS           	    5.49	H         	                                                      
B020D-G089	   0:41:17.23	   41:08:09.1	 -3.66	   1.81	  -558.0	  17.3	  0.49	17.47	 0.05	 7.74 	HS        	L         	(14)	 -2.06	      0.22	HS           	    5.62	H         	fluxing?                                              
B029-G090 	   0:41:17.82	   41:00:23.0	 -5.03	   0.74	  -500.0	   7.3	  0.27	16.65	 0.13	11.61 	HS        	L         	13.4	 -0.29	      0.12	HS           	    5.68	H         	                                                      
B030-G091 	   0:41:18.74	   40:57:15.6	 -5.56	   0.28	  -390.9	   6.4	  0.65	17.32	 0.05	 7.74 	HS        	L         	(14)	 -0.32	      0.13	HS           	    5.88	H         	red                                                   
B031-G092 	   0:41:20.93	   40:59:04.2	 -5.18	   0.45	  -310.8	   8.2	  0.31	17.72	 0.03	 5.16 	HS        	L         	11.5	 -0.53	      0.15	HS           	    5.30	H         	                                                      
B032-G093 	   0:41:21.51	   41:17:30.2	 -1.89	   2.95	  -526.3	   6.6	  0.51	17.61	 0.03	 7.74 	HS        	L         	12.3	 -0.70	      0.13	HS           	    5.59	H         	                                                      
B033-G095 	   0:41:26.40	   41:00:14.0	 -4.83	   0.43	  -466.5	  15.9	  0.3 	17.68	 0.08	 7.74 	HS        	L         	(14)	 -1.60	      0.28	HS           	    5.30	H         	                                                      
B034-G096 	   0:41:28.12	   40:53:49.6	 -5.93	  -0.50	  -556.5	   9.7	  0.16	15.40	 0.10	11.61 	HS        	L         	(14)	 -0.62	      0.13	HS           	    6.04	H         	                                                      
B457-G097 	   0:41:29.23	   42:18:37.1	  9.18	  11.02	  -330.0	  17.7	  0.13	16.91	     	      	HS        	B         	(14)	 -1.13	      0.23	HS           	    5.40	H         	                                                      
B035      	   0:41:32.58	   41:38:32.7	  2.14	   5.45	   -45.7	   5.0	  0.21	17.48	     	      	HS        	B         	11.7	 -0.75	      0.12	HS           	    5.27	H         	                                                      
B036      	   0:41:32.83	   41:26:05.1	 -0.07	   3.74	  -506.2	   6.4	  0.25	17.32	     	      	HS        	B         	(14)	 -0.78	      0.12	HS           	    5.39	H         	                                                      
B037-V327 	   0:41:34.98	   41:14:55.1	 -2.00	   2.14	  -322.8	  11.3	  1.61	16.86	 0.09	11.61 	HS        	L         	(14)	 -0.81	      0.13	HS           	    7.25	H         	red                                                   
B038-G098 	   0:41:35.95	   41:19:14.8	 -1.21	   2.70	  -183.4	   9.4	  0.4 	16.51	 0.06	 5.16 	HS        	L         	(14)	 -1.66	      0.14	HS           	    5.90	H         	                                                      
B039-G101 	   0:41:37.87	   41:20:50.1	 -0.88	   2.85	  -246.6	   6.3	  0.6 	16.17	 0.11	 7.74 	HS        	L         	9.0 	 -0.81	      0.12	HS           	    6.28	H         	red                                                   
B042-G104 	   0:41:41.69	   41:07:26.2	 -3.16	   0.90	  -293.8	  12.4	  0.88	16.16	 0.07	 5.16 	HS        	L         	6.7 	 -0.94	      0.12	HS           	    6.63	H         	red                                                   
B044-G107 	   0:41:42.91	   41:20:06.2	 -0.88	   2.59	  -267.6	   6.2	  0.47	16.84	 0.07	 5.16 	HS        	L         	13.3	 -0.75	      0.12	HS           	    5.85	H         	g                                                     
B343-G105 	   0:41:43.10	   40:12:22.4	-12.91	  -6.67	  -356.0	  13.8	  0.15	16.34	     	      	HS        	B         	(14)	 -1.64	      0.19	HS           	    5.65	H         	                                                      
B045-G108 	   0:41:43.11	   41:34:20.3	  1.66	   4.52	  -419.4	   6.1	  0.18	15.71	 0.10	11.61 	HS        	L         	(14)	 -0.86	      0.11	HS           	    5.94	H         	                                                      
B046-G109 	   0:41:44.60	   41:46:27.7	  3.85	   6.13	  -351.3	   7.4	  0.18	17.81	     	      	HS        	B         	(14)	 -1.09	      0.14	HS           	    5.10	H         	                                                      
B048-G110 	   0:41:45.53	   41:13:30.6	 -1.98	   1.60	  -234.6	  10.3	  0.36	16.58	 0.08	 7.74 	HS        	L         	(14)	 -0.82	      0.12	HS           	    5.82	H         	g                                                     
B047-G111 	   0:41:45.56	   41:42:04.1	  3.09	   5.50	  -294.8	   9.2	  0.16	17.51	     	      	HS        	B         	(14)	 -1.56	      0.19	HS           	    5.20	H         	                                                      
B050-G113 	   0:41:46.28	   41:32:18.7	  1.38	   4.14	  -109.5	   6.0	  0.25	16.74	 0.04	 7.74 	HS        	L         	13.5	 -0.84	      0.12	HS           	    5.62	H         	                                                      
B051-G114 	   0:41:46.70	   41:25:19.1	  0.15	   3.17	  -261.2	   5.8	  0.38	16.28	 0.15	 7.74 	HS        	L         	(14)	 -0.83	      0.12	HS           	    5.96	H         	                                                      
B054-G115 	   0:41:47.68	   41:00:55.3	 -4.16	  -0.19	  -397.2	   7.5	  0.17	18.16	 0.04	 5.16 	HS        	L         	10.6	 -0.20	      0.15	HS           	    4.95	H         	                                                      
B055-G116 	   0:41:50.39	   41:12:12.4	 -2.09	   1.26	  -304.9	   7.6	  0.54	16.65	 0.10	11.61 	HS        	L         	(14)	 -0.14	      0.12	HS           	    6.01	H         	red                                                   
B254      	   0:41:50.5 	   41:16:25.9	 -1.33	   1.83	  -421.0	  12.3	  0.29	18.66	 0.14	 5.16 	HS        	L         	4.8 	 -0.92	      0.19	HS           	    4.90	H         	                                                      
B056-G117 	   0:41:51.16	   40:57:40.2	 -4.65	  -0.75	  -363.7	   7.1	  0.24	17.29	 0.11	11.61 	HS        	L         	(14)	 -0.00	      0.13	HS           	    5.39	H         	                                                      
B057-G118 	   0:41:52.82	   40:52:05.1	 -5.60	  -1.57	  -411.1	  21.4	  0.1 	17.58	 0.07	 5.16 	HS        	L         	(14)	 -2.12	      0.29	HS           	    5.10	H         	                                                      
B058-G119 	   0:41:53.00	   40:47:09.7	 -6.47	  -2.25	  -220.2	  11.4	  0.15	15.00	 0.08	 7.74 	HS        	L         	(14)	 -1.05	      0.11	HS           	    6.19	H         	                                                      
B059-G120 	   0:41:54.11	   41:11:00.7	 -2.20	   0.97	  -262.1	   7.5	  0.49	17.18	 0.06	 5.16 	HS        	L         	(14)	 -1.00	      0.12	HS           	    5.74	H         	                                                      
